INFO 2024-11-22 10:00:37,690 consumers 1 140065323203368 Player 515d5285-0f26-4737-963b-6f1a41d39468 disconnected with code 1001
DEBUG 2024-11-22 10:00:37,691 consumers 1 140065323203368 Removed player 515d5285-0f26-4737-963b-6f1a41d39468 from players list
INFO 2024-11-22 10:00:38,414 consumers 1 140065323203368 Player 3be2be58-44d8-43b1-a16f-c97e99463530 disconnected with code 1001
DEBUG 2024-11-22 10:00:38,414 consumers 1 140065323203368 Removed player 3be2be58-44d8-43b1-a16f-c97e99463530 from players list
DEBUG 2024-11-22 10:00:38,414 consumers 1 140065323203368 Removed player 3be2be58-44d8-43b1-a16f-c97e99463530 from game c81745df-5a50-4184-84da-7f7458977cec
INFO 2024-11-22 10:00:38,415 consumers 1 140065323203368 Game c81745df-5a50-4184-84da-7f7458977cec is empty, cleaning up
INFO 2024-11-22 10:00:38,415 Game 1 140065323203368 Cleaning up game c81745df-5a50-4184-84da-7f7458977cec
DEBUG 2024-11-22 10:00:38,415 Game 1 140065323203368 Game loop for game c81745df-5a50-4184-84da-7f7458977cec cancelled successfully
INFO 2024-11-22 10:00:38,415 Game 1 140065323203368 Game c81745df-5a50-4184-84da-7f7458977cec cleaned up successfully
INFO 2024-11-22 10:00:39,991 consumers 1 140065323203368 Player 9d2b3848-e31e-48fb-8fb0-bbbc2b9f9722 disconnected with code 1001
DEBUG 2024-11-22 10:00:39,991 consumers 1 140065323203368 Removed player 9d2b3848-e31e-48fb-8fb0-bbbc2b9f9722 from players list
DEBUG 2024-11-22 10:00:39,991 consumers 1 140065323203368 Removed player 9d2b3848-e31e-48fb-8fb0-bbbc2b9f9722 from game b8059ff3-a4f1-49a2-922a-d59b62709f48
INFO 2024-11-22 10:00:39,992 consumers 1 140065323203368 Game b8059ff3-a4f1-49a2-922a-d59b62709f48 is empty, cleaning up
INFO 2024-11-22 10:00:39,992 Game 1 140065323203368 Cleaning up game b8059ff3-a4f1-49a2-922a-d59b62709f48
DEBUG 2024-11-22 10:00:39,992 Game 1 140065323203368 Game loop for game b8059ff3-a4f1-49a2-922a-d59b62709f48 cancelled successfully
INFO 2024-11-22 10:00:39,992 Game 1 140065323203368 Game b8059ff3-a4f1-49a2-922a-d59b62709f48 cleaned up successfully
INFO 2024-11-22 10:08:52,930 consumers 1 140657663261480 Player bec9d058-a2eb-40d7-905d-c516e6ecbcae disconnected with code 1001
DEBUG 2024-11-22 10:08:52,930 consumers 1 140657663261480 Removed player bec9d058-a2eb-40d7-905d-c516e6ecbcae from players list
DEBUG 2024-11-22 10:08:52,930 consumers 1 140657663261480 Removed player bec9d058-a2eb-40d7-905d-c516e6ecbcae from game 410db0b1-5531-4ebc-b652-ebd485927e18
